timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/17 02:51:05.749, 0, 0, 0, 147480, 183359, 156.26
2026/03/17 02:51:05.777, 0, 0, 0, 147480, 183359, 156.28
2026/03/17 02:51:06.803, 0, 0, 0, 147480, 183359, 156.44
2026/03/17 02:51:07.831, 0, 0, 0, 147480, 183359, 156.35
2026/03/17 02:51:08.858, 0, 0, 0, 147480, 183359, 156.45
2026/03/17 02:51:09.888, 0, 0, 0, 147480, 183359, 156.36
2026/03/17 02:51:10.918, 0, 0, 0, 147480, 183359, 156.38
2026/03/17 02:51:11.946, 0, 0, 0, 147480, 183359, 156.41
2026/03/17 02:51:12.975, 0, 25, 1, 147480, 183359, 164.31
2026/03/17 02:51:14.004, 0, 18, 0, 147480, 183359, 163.06
