label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,188.38,157.00,162.64,0.0456,0.0565,0.0528,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,671.84,643.82,653.39,0.1151,0.1205,0.1183,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,878.76,852.26,854.01,0.1662,0.1714,0.1710,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1020.82,1003.09,1008.47,0.2104,0.2141,0.2129,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1210.66,1182.66,1183.56,0.2341,0.2397,0.2395,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1266.64,1228.95,1230.19,0.2780,0.2867,0.2863,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1319.69,1295.37,1296.09,0.3189,0.3250,0.3248,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1413.21,1395.79,1397.02,0.3465,0.3508,0.3505,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1487.87,1471.72,1473.43,0.3753,0.3794,0.3789,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1564.78,1549.86,1550.30,0.4007,0.4046,0.4045,NVIDIA GB200,2062,3996,1950,3996
