test,sum_gbps
host_to_device_memcpy_ce,845.77
device_to_host_memcpy_ce,773.94
host_to_device_bidirectional_memcpy_ce,672.48
device_to_host_bidirectional_memcpy_ce,669.25
device_to_device_memcpy_read_ce,9218.01
device_to_device_memcpy_write_ce,9302.69
device_to_device_bidirectional_memcpy_read_ce_read1,9161.81
device_to_device_bidirectional_memcpy_read_ce_read2,9160.94
device_to_device_bidirectional_memcpy_read_ce_total,18322.75
device_to_device_bidirectional_memcpy_write_ce_write1,9253.42
device_to_device_bidirectional_memcpy_write_ce_write2,9246.43
device_to_device_bidirectional_memcpy_write_ce_total,18499.85
all_to_host_memcpy_ce,735.39
all_to_host_bidirectional_memcpy_ce,345.23
host_to_all_memcpy_ce,704.79
host_to_all_bidirectional_memcpy_ce,346.94
all_to_one_write_ce,3179.63
all_to_one_read_ce,2635.24
one_to_all_write_ce,2981.66
one_to_all_read_ce,3179.06
host_to_device_memcpy_sm,845.82
device_to_host_memcpy_sm,773.59
host_to_device_bidirectional_memcpy_sm,667.54
device_to_host_bidirectional_memcpy_sm,667.64
device_to_device_memcpy_read_sm,9425.04
device_to_device_memcpy_write_sm,8606.09
device_to_device_bidirectional_memcpy_read_sm_read1,8085.28
device_to_device_bidirectional_memcpy_read_sm_read2,8087.76
device_to_device_bidirectional_memcpy_read_sm_total,16173.05
device_to_device_bidirectional_memcpy_write_sm_write1,8473.46
device_to_device_bidirectional_memcpy_write_sm_write2,8472.3
device_to_device_bidirectional_memcpy_write_sm_total,16945.75
all_to_host_memcpy_sm,702.9
all_to_host_bidirectional_memcpy_sm,334.79
host_to_all_memcpy_sm,692.37
host_to_all_bidirectional_memcpy_sm,334.94
all_to_one_write_sm,2873.47
all_to_one_read_sm,2882.22
one_to_all_write_sm,2924.9
one_to_all_read_sm,2873.23
host_device_latency_sm,2353.99
device_to_device_latency_sm,20766.81
device_local_copy,13074.49
