step	rc	start_utc	end_utc	log_path
bootstrap_nodes	0	2026-02-10T06:22:18+00:00	2026-02-10T06:23:14+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/bootstrap_nodes.log
preflight_services	0	2026-02-10T06:23:14+00:00	2026-02-10T06:23:18+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/preflight_services.log
discovery	0	2026-02-10T06:23:18+00:00	2026-02-10T06:23:30+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/discovery.log
quick_friction_all_nodes	0	2026-02-10T06:23:30+00:00	2026-02-10T06:33:52+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/quick_friction_all_nodes.log
monitoring_expectations_all_nodes	0	2026-02-10T06:33:52+00:00	2026-02-10T06:35:09+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/monitoring_expectations_all_nodes.log
hang_triage_bundle	0	2026-02-10T06:35:09+00:00	2026-02-10T06:35:10+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/hang_triage_bundle.log
connectivity_probe	0	2026-02-10T06:35:10+00:00	2026-02-10T06:35:23+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/connectivity_probe.log
nccl_single_node	0	2026-02-10T06:35:23+00:00	2026-02-10T06:35:35+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/nccl_single_node.log
nccl_multi_node	0	2026-02-10T06:35:35+00:00	2026-02-10T06:35:51+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/nccl_multi_node.log
nccl_env_sensitivity	0	2026-02-10T06:35:51+00:00	2026-02-10T06:37:22+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/nccl_env_sensitivity.log
health_suite_extended	0	2026-02-10T06:37:22+00:00	2026-02-10T06:43:06+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/health_suite_extended.log
vllm_serve_sweep	0	2026-02-10T06:43:06+00:00	2026-02-10T06:56:33+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/vllm_serve_sweep.log
vllm_serve_multinode_c64	0	2026-02-10T06:56:33+00:00	2026-02-10T07:13:06+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/vllm_serve_multinode_c64.log
gemm_sanity	0	2026-02-10T07:13:06+00:00	2026-02-10T07:14:11+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/gemm_sanity.log
fp4_checks	0	2026-02-10T07:14:11+00:00	2026-02-10T07:18:20+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/fp4_checks.log
mamf_finder	0	2026-02-10T07:18:20+00:00	2026-02-10T07:18:39+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/mamf_finder.log
allreduce_stability	0	2026-02-10T07:18:39+00:00	2026-02-10T07:18:55+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/allreduce_stability.log
allreduce_latency_comp	0	2026-02-10T07:18:55+00:00	2026-02-10T07:19:12+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/allreduce_latency_comp.log
allgather_control_plane	0	2026-02-10T07:19:12+00:00	2026-02-10T07:19:34+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/allgather_control_plane.log
nccl_algo_comparison	0	2026-02-10T07:19:34+00:00	2026-02-10T07:22:27+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/nccl_algo_comparison.log
c2c_memcpy	0	2026-02-10T07:22:27+00:00	2026-02-10T07:22:40+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/c2c_memcpy.log
numa_mem_bw	0	2026-02-10T07:22:40+00:00	2026-02-10T07:22:54+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/numa_mem_bw.log
train_step_single_node	0	2026-02-10T07:22:54+00:00	2026-02-10T07:23:55+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/train_step_single_node.log
train_step_multi_node	0	2026-02-10T07:23:55+00:00	2026-02-10T07:24:54+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/train_step_multi_node.log
checkpoint_io	0	2026-02-10T07:24:54+00:00	2026-02-10T07:25:07+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/checkpoint_io.log
fio_all_nodes	0	2026-02-10T07:25:07+00:00	2026-02-10T07:32:45+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/fio_all_nodes.log
nvbandwidth_all_nodes	0	2026-02-10T07:32:45+00:00	2026-02-10T07:37:57+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/nvbandwidth_all_nodes.log
plot_nccl_single_node	0	2026-02-10T07:37:57+00:00	2026-02-10T07:37:58+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nccl_single_node.log
plot_nccl_multi_node	0	2026-02-10T07:37:58+00:00	2026-02-10T07:37:58+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nccl_multi_node.log
plot_nccl_env_sensitivity	0	2026-02-10T07:37:58+00:00	2026-02-10T07:37:59+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nccl_env_sensitivity.log
plot_vllm_serve	0	2026-02-10T07:37:59+00:00	2026-02-10T07:37:59+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_vllm_serve.log
plot_vllm_serve_multinode	0	2026-02-10T07:37:59+00:00	2026-02-10T07:38:00+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_vllm_serve_multinode.log
plot_iperf3_oob	0	2026-02-10T07:38:00+00:00	2026-02-10T07:38:00+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_iperf3_oob.log
plot_gemm_sanity	0	2026-02-10T07:38:00+00:00	2026-02-10T07:38:01+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_gemm_sanity.log
plot_mamf	0	2026-02-10T07:38:01+00:00	2026-02-10T07:38:01+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_mamf.log
plot_allreduce_stability	0	2026-02-10T07:38:01+00:00	2026-02-10T07:38:02+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_allreduce_stability.log
plot_allreduce_latency_comp	0	2026-02-10T07:38:02+00:00	2026-02-10T07:38:02+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_allreduce_latency_comp.log
plot_allgather_control_plane	0	2026-02-10T07:38:02+00:00	2026-02-10T07:38:03+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_allgather_control_plane.log
plot_nccl_algo_comparison	0	2026-02-10T07:38:03+00:00	2026-02-10T07:38:04+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nccl_algo_comparison.log
plot_fio_2026-02-10_full_suite_e2e_wire_qf_mon_node1_fio	0	2026-02-10T07:38:04+00:00	2026-02-10T07:38:04+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_fio_2026-02-10_full_suite_e2e_wire_qf_mon_node1_fio.log
plot_fio_2026-02-10_full_suite_e2e_wire_qf_mon_node2_fio	0	2026-02-10T07:38:04+00:00	2026-02-10T07:38:04+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_fio_2026-02-10_full_suite_e2e_wire_qf_mon_node2_fio.log
plot_nvbandwidth_2026-02-10_full_suite_e2e_wire_qf_mon_node1_nvbandwidth	0	2026-02-10T07:38:04+00:00	2026-02-10T07:38:05+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nvbandwidth_2026-02-10_full_suite_e2e_wire_qf_mon_node1_nvbandwidth.log
plot_nvbandwidth_2026-02-10_full_suite_e2e_wire_qf_mon_node2_nvbandwidth	0	2026-02-10T07:38:05+00:00	2026-02-10T07:38:05+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_nvbandwidth_2026-02-10_full_suite_e2e_wire_qf_mon_node2_nvbandwidth.log
plot_c2c_memcpy	0	2026-02-10T07:38:05+00:00	2026-02-10T07:38:06+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_c2c_memcpy.log
plot_numa_mem_bw_2026-02-10_full_suite_e2e_wire_qf_mon_node1_numa_mem_bw	0	2026-02-10T07:38:06+00:00	2026-02-10T07:38:06+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_numa_mem_bw_2026-02-10_full_suite_e2e_wire_qf_mon_node1_numa_mem_bw.log
plot_numa_mem_bw_2026-02-10_full_suite_e2e_wire_qf_mon_node2_numa_mem_bw	0	2026-02-10T07:38:06+00:00	2026-02-10T07:38:07+00:00	/home/ubuntu/ai-performance-engineering/code/cluster/results/raw/2026-02-10_full_suite_e2e_wire_qf_mon_suite/plot_numa_mem_bw_2026-02-10_full_suite_e2e_wire_qf_mon_node2_numa_mem_bw.log
